minimalny koszt; czas dzia³ania algorytmu[s]; prawdopodobiensto; temp; neighbourcost
25393;8.68467e-06;0.99741;46277;25513
24626;0.100001;6.72052e-24;4.19815;25009
24626;0.200001;0;2.01302;25009
24626;0.300001;1.85904e-27;1.381;24870
24626;0.4;2.89751e-37;1.01032;24870
24626;0.500001;0;0.804875;24870
24626;0.600001;0;0.665866;24870
24626;0.700001;0;0.566207;24870
24626;0.800001;0;0.492884;24870
24626;0.900001;0;0.439698;24870
24626;1;0;0.394068;24870
24626;1.1;0;0.361756;24870
24626;1.2;0;0.335466;24870
24376;1.30046;0;0.315598;24634
24376;1.4;0;0.298321;24634
24376;1.5;0;0.279929;24634
24376;1.6;0;0.265491;24634
24376;1.7;0;0.25116;24634
24376;1.8;0;0.237331;24634
24376;1.9;0;0.231511;24634
24376;2;0;0.224835;24634
24376;2.1;0;0.214502;24634
24376;2.2;0;0.207932;24634
24281;2.3;0;0.200278;24544
24281;2.4;0;0.194392;24544
24281;2.5;0;0.18916;24544
24281;2.6;0;0.183022;24544
24281;2.7;0;0.176345;24544
24281;2.8;0;0.171473;24544
24281;2.9;0;0.165966;24544
24281;3;0;0.161055;24544
24281;3.1;0;0.155928;24544
24281;3.2;0;0.15191;24544
24281;3.30007;0;0.148384;24380
24281;3.4;0;0.144471;24380
24281;3.5;0;0.140451;24380
24281;3.60001;0;0.13755;24380
24281;3.7;0;0.134776;24380
24281;3.80001;0;0.131654;24380
24281;3.9;0;0.128193;24380
24281;4;0;0.124688;24380
24281;4.1;0;0.12171;24380
24281;4.2;0;0.118746;24380
24281;4.3;0;0.115979;24564
24281;4.4;0;0.113408;24564
24281;4.50405;0;0.111492;24564
24281;4.6;0;0.110665;24564
24281;4.7;0;0.10987;24564
24281;4.8;0;0.108899;24564
24281;4.9;0;0.10782;24564
24281;5;0;0.106568;24564
24281;5.1;0;0.105024;24564
24281;5.2;0;0.103416;24564
24136;5.3;0;0.1024;24412
24136;5.4;0;0.101099;24412
24136;5.5;0;0.0996965;24412
24136;5.6;0;0.0985194;24412
24136;5.7;0;0.0971495;24412
24136;5.8;0;0.0954831;24412
24136;5.90001;0;0.0937846;24412
24136;6;0;0.0922962;24412
24136;6.1;0;0.090337;24412
24136;6.2;0;0.0884431;24412
24073;6.3;0;0.0865474;24113
24073;6.4;0;0.0850518;24113
24073;6.5013;0;0.0832068;24113
24073;6.60004;0;0.0815891;24113
24073;6.7;0;0.0798799;24113
24073;6.8;0;0.0782284;24113
24073;6.9;0;0.0766035;24113
24073;7;0;0.0752388;24113
24073;7.1;0;0.0740577;24113
24073;7.2;0;0.0730298;24113
24001;7.3;0;0.0721012;24013
24001;7.4;0;0.0712391;24013
24001;7.5;0;0.0702049;24013
24001;7.6;0;0.0693628;24013
24001;7.7;0;0.0683584;24013
24001;7.8;0;0.0673218;24013
24001;7.9;0;0.0662333;24013
24001;8;0;0.065142;24013
24001;8.1;0;0.0640501;24013
24001;8.2;0;0.0630528;24013
23919;8.3;0;0.0621219;23941
23919;8.40006;0;0.0613781;23941
23919;8.5;0;0.0604858;23941
23919;8.6;0;0.0596513;23941
23919;8.70001;0;0.0588381;23941
23919;8.8;0;0.0580493;23941
23919;8.9;0;0.0574918;23941
23919;9.00026;0;0.0568234;23941
23919;9.1;0;0.0561502;23941
23919;9.2;0;0.055429;23941
23855;9.3;0;0.0547718;23919
23855;9.4;0;0.0541557;23919
23855;9.5;0;0.0535712;23919
23855;9.60002;0;0.0528711;23919
23855;9.7;0;0.0522165;23919
23855;9.8;0;0.0515517;23919
23855;9.9;0;0.0509374;23919
23855;10;0;0.0502698;23919
23855;10.1;0;0.0496499;23919
23855;10.2;0;0.0490107;23919
23596;10.3003;0;0.0485107;23735
23596;10.4;0;0.0479635;23735
23596;10.5;0;0.0474565;23735
23596;10.6;0;0.046943;23735
23596;10.7;0;0.0464073;23735
23596;10.8;0;0.0458377;23735
23596;10.9;0;0.0453222;23735
23596;11;0;0.0447711;23735
23596;11.1;0;0.0442491;23735
23596;11.2;0;0.0437535;23735
23547;11.3003;0;0.0432976;23595
23547;11.4;0;0.0428511;23595
23547;11.5;0;0.042383;23595
23547;11.6;0;0.041949;23595
23547;11.7;0;0.0415888;23595
23547;11.8;0;0.0412643;23595
