minimalny koszt; czas dzia³ania algorytmu[s]
206;3.94758e-07
39;0.100039
39;0.200007
39;0.300042
39;0.400026
39;0.500045
39;0.600578
39;0.700036
39;0.800047
39;0.900006
39;1.00003
39;1.10002
39;1.20001
39;1.30002
39;1.40001
39;1.50004
39;1.60003
39;1.70001
39;1.8
39;1.90001
39;2.00004
39;2.10003
39;2.20002
39;2.30007
39;2.40004
39;2.50001
39;2.60007
39;2.70001
39;2.8
39;2.90003
39;3.00004
39;3.10003
39;3.20004
39;3.30002
39;3.40004
39;3.50002
39;3.6
39;3.70003
39;3.80015
39;3.90001
39;4.00003
39;4.10005
39;4.20002
39;4.30001
39;4.40001
39;4.5
39;4.60002
39;4.70002
39;4.80006
39;4.9
39;5.00001
39;5.10002
39;5.20002
39;5.30003
39;5.40009
39;5.50002
39;5.60003
39;5.70007
39;5.80003
39;5.90001
39;6.00003
39;6.10003
39;6.20003
39;6.30001
39;6.40002
39;6.50002
39;6.60001
39;6.70003
39;6.80001
39;6.90001
39;7
39;7.10004
39;7.20004
39;7.30004
39;7.40016
39;7.50001
39;7.60002
39;7.7
39;7.80003
39;7.90006
39;8
39;8.10009
39;8.20003
39;8.30002
39;8.40003
39;8.50001
39;8.60002
39;8.7
39;8.80001
39;8.90001
39;9.00001
39;9.10004
39;9.20003
39;9.30007
39;9.40003
39;9.50001
39;9.60003
39;9.70007
39;9.80003
39;9.90005
39;10
